Point,Latitude,Longitude,Anacardiaceae,Amaryllidaceae,Apocynaceae,Arecaceae,Bignoniaceae,Bombacaceae,Celastraceae,Clusiaceae,Combretaceae,Dilleniaceae,Dipterocarpaceae,Elaeocarpaceae,Euphorbiaceae,Fabaceae,Fagaceae,Lamiaceae,Malvaceae,Meliaceae,Moraceae,Myrtaceae,Oxalidaceae,Phyllanthaceae,Sapindaceae,Theaceae,Thymelaeaceae,Verbenaceae
1,24.12557465,91.44404719,3,0,0,0,9,0,3,0,12,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
2,24.12483797,91.44842944,6,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,71,0,0,0,0,0,0,0
3,24.12587162,91.45181662,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,4,0,0,0,11
4,24.12601718,91.45607174,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,2,0,0,47,0
5,24.12332107,91.45695881,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,1,0,0,39,0
6,24.12281039,91.4541327,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,21,0,0,0,12,0,0,0
7,24.12316488,91.45065188,0,0,0,0,0,0,0,0,0,0,0,9,3,0,1,0,12,0,13,11,0,0,0,0,0,12
8,24.1229368,91.44583957,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
9,24.12317612,91.44280188,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,23,0,0,0,0,0,0,0
10,24.12105102,91.44382196,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,2,47,7,0,0,0,0,0,0
11,24.12077351,91.44692772,6,0,0,0,0,0,0,3,11,0,0,0,2,0,0,0,6,0,25,0,0,0,0,0,0,0
12,24.1211563,91.44969122,7,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,7,3,37,0,1,0,0,0,0,0
13,24.12042471,91.45287778,3,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,7,8,4,0,6,0,0,0,0
14,24.11891224,91.45531009,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,50,0,0,0,0,0,0,6
15,24.11867713,91.44807719,6,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,67,0,0,9,0,0,0,0
16,24.1193132,91.44519417,0,0,0,0,6,0,3,8,0,1,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
17,24.117193,91.44488898,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,34,4,0,0,0,0,0,0
18,24.11632698,91.44681104,4,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,4,0,32,0,0,7,0,0,0,0
19,24.11712532,91.45006388,0,0,4,0,7,3,0,7,17,2,0,0,0,0,3,0,0,3,10,3,0,10,0,0,0,8
20,24.11749592,91.45333014,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0
21,24.1153212,91.45406168,0,0,0,0,0,0,0,4,18,0,0,0,0,0,2,0,0,10,31,0,0,6,0,0,0,0
22,24.1152259,91.45109523,0,0,0,0,0,0,0,0,9,0,0,0,5,3,0,0,3,0,35,0,0,11,0,0,0,0
23,24.11388198,91.44912402,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,40,0,0,5,3,0,0,4
24,24.11321502,91.45258307,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,21,0,0,0,0,0,0,0
25,24.11105118,91.45254024,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,0,60,0,0,2,0,0,0,0
26,24.11135037,91.44968023,0,0,0,0,3,0,0,0,12,8,0,0,5,0,0,0,6,0,14,4,0,0,0,9,0,0
27,24.10891696,91.45125504,0,0,0,0,3,0,0,0,8,0,0,0,1,0,0,16,0,2,25,0,0,4,5,0,0,0
28,24.10945097,91.45426598,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,57,2,0,20,0,0,0,0,3,0,0
