Point,Latitude,Longitude,bird_abundance,bird_richness,plant_richness,plant_abundance,Canopy_openness,Distance_from_road,Distance_from_the_locality,Distance_Trail,t_Anacardiaceae,t_Bignoniaceae,t_Celastraceae,t_Clusiaceae,t_Combretaceae,t_Dilleniaceae,t_Dipterocarpaceae,t_Elaeocarpaceae,t_Euphorbiaceae,t_Fabaceae,t_Fagaceae,t_Lamiaceae,t_Malvaceae,t_Meliaceae,t_Moraceae,t_Myrtaceae,t_Phyllanthaceae,t_Sapindaceae,t_Theaceae,t_Thymelaeaceae,t_Verbenaceae,b_Accipitridae,b_Aegithinidae,b_Alcedinidae,b_Bucerotidae,b_Campephagidae,b_Chloropseidae,b_Cisticolidae,b_Columbidae,b_Corvidae,b_Cuculidae,b_Dicruridae,b_Leiothrichidae,b_Megalaimidae,b_Merles,b_Meropidae,b_Monarchidae,b_Muscicapidae,b_Nectariniidae,b_Pellorneidae,b_Phasianidae,b_Phylloscopidae,b_Pittidae,b_Psittaculidae,b_Pycnonotidae,b_Strigidae,b_Sturnidae,b_Zosteropidae
1,24.12557465,91.44404719,12,6,7,80,70,134,166,14,3,9,3,0,12,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,2,0,0,0,4,0
2,24.12483797,91.44842944,12,7,10,99,75,145,625,115,6,0,0,0,0,0,0,6,0,2,0,0,0,0,71,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0
3,24.12587162,91.45181662,7,4,8,52,65,138,960,246,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0
4,24.12601718,91.45607174,10,7,6,58,70,113,1050,102,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,2,0,0,47,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,1
5,24.12332107,91.45695881,10,6,5,50,70,375,820,73,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,1,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,2
6,24.12281039,91.4541327,9,6,5,45,75,522,1085,111,0,0,0,4,0,0,0,0,0,0,0,0,0,6,21,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,2,0
7,24.12316488,91.45065188,11,7,8,61,75,318,890,153,0,0,0,0,0,0,0,9,3,0,1,0,12,0,13,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,1,0,0,2,0
8,24.1229368,91.44583957,7,6,5,77,65,453,440,20,0,0,0,27,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0
9,24.12317612,91.44280188,16,9,6,41,70,395,205,273,0,0,0,0,0,6,0,0,0,0,0,0,6,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,1,0,2,0,0,4,0
10,24.12105102,91.44382196,15,9,7,70,65,630,460,216,0,8,0,0,0,0,0,6,0,0,0,0,0,2,47,7,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,1,0,0,2
